question,reponse
Je suis allergique aux œufs,Compris ! Je filtre les recettes avec œufs. Listez vos autres ingrédients !
Je suis allergique au gluten,Je vous recommande des recettes 100% sans gluten. Quels ingrédients avez-vous ?
Je suis allergique aux crustacés,Compris ! Pas de crevettes homard ni crabe dans vos recettes. Quels ingrédients avez-vous ?
Je suis allergique aux fruits de mer,Compris ! Je filtre tous les fruits de mer. Quels ingrédients avez-vous ?
Je suis allergique au lait,Compris ! Je filtre les produits laitiers. Quels ingrédients avez-vous ?
Je suis allergique au soja,Compris ! Je filtre le soja et ses dérivés. Quels ingrédients avez-vous ?
Je suis allergique au blé,Compris ! Je recommande des alternatives sans blé comme riz quinoa ou sarrasin !
Je mange casher,Pour des recettes casher : viande et produits laitiers ne se mélangent pas. Quels ingrédients avez-vous ?
Je suis en période de Ramadan,Pour le Ramadan : recettes nourrissantes pour l'iftar et légères pour le suhoor. Quels ingrédients avez-vous ?
Je fais un jeûne intermittent,Pour le jeûne intermittent : repas nourrissants et rassasiants pendant la fenêtre alimentaire. Qu'avez-vous ?
Je fais un régime basse calorie,Pour un régime basse calorie : légumes à volonté protéines maigres et portions contrôlées !
Je suis en régime DASH,Le régime DASH privilégie fruits légumes céréales complètes et protéines maigres avec peu de sel !
Je suis en régime fodmap,Pour le régime FODMAP : évitez ail oignon blé et certains fruits. Je peux vous guider !
Je ne mange pas de rouge,Pour éviter la viande rouge : poulet poisson œufs et légumineuses sont d'excellentes alternatives !
Je suis intolérant à l'histamine,Pour l'intolérance à l'histamine : évitez alcool tomates épinards et aliments fermentés !
Je suis hypertendu,Pour l'hypertension : peu de sel beaucoup de fruits légumes et poissons. Quels ingrédients avez-vous ?
J'ai des problèmes de cholestérol,Pour réduire le cholestérol : avoine légumineuses poissons gras et huile d'olive sont excellents !
J'ai des problèmes digestifs,Pour faciliter la digestion : évitez les aliments gras épicés et préférez des cuissons douces !
Je suis en convalescence,Pour la convalescence : recettes douces riches en protéines et vitamines pour aider la guérison !
Je suis enceinte,Pour la grossesse : évitez le cru le fromage au lait cru et l'alcool. Privilégiez fer et acide folique !
J'allaite,Pour l'allaitement : alimentation variée et hydratation suffisante. Certains évitent caféine et alcool !
Mon enfant est végétarien,Pour un enfant végétarien : assurez-vous d'apporter protéines fer et vitamine B12 en suffisance !
Je suis intolérant au fructose,Pour l'intolérance au fructose : évitez fruits sucrés miel et sirops. Listez vos ingrédients tolérés !
Je suis intolérant au sorbitol,Pour l'intolérance au sorbitol : évitez pommes poires et certains fruits. Quels ingrédients tolérez-vous ?
Je fais le régime Atkins,Le régime Atkins est très pauvre en glucides et riche en protéines et graisses. Quels ingrédients avez-vous ?
Je fais le régime Dukan,Le régime Dukan se base sur les protéines pures en phase d'attaque. Quels ingrédients avez-vous ?
Je fais le régime Weight Watchers,Pour Weight Watchers : des recettes équilibrées avec des points raisonnables. Quels ingrédients avez-vous ?
Je suis intolérant à la caféine,Pour éviter la caféine : préférez tisanes lait chaud et eau. Je peux vous proposer des boissons sans caféine !
Comment faire cuire le riz ?,Pour cuire le riz : rincez-le puis faites-le cuire dans 2 fois son volume d'eau pendant 18-20 minutes à feu doux !
Comment faire cuire des pâtes ?,Pour les pâtes : faites bouillir de l'eau salée et cuisez selon les instructions du paquet généralement 8-12 minutes !
Comment faire un roux ?,Un roux : faites fondre du beurre à feu doux ajoutez la même quantité de farine et mélangez 2 minutes !
Comment faire une béchamel ?,Béchamel : faites un roux puis ajoutez du lait chaud progressivement en mélangeant jusqu'à épaississement !
Comment faire un bouillon maison ?,Bouillon maison : faites mijoter légumes oignons herbes et os ou légumes dans l'eau pendant 1-2 heures !
Comment caraméliser des oignons ?,Oignons caramélisés : faites-les cuire à feu très doux avec du beurre et une pincée de sel pendant 30-45 minutes !
Comment faire un caramel ?,Caramel : faites fondre du sucre à sec à feu moyen sans mélanger jusqu'à coloration ambrée !
Comment faire une meringue ?,Meringue : montez des blancs d'œufs en neige puis ajoutez progressivement du sucre en continuant de battre !
Comment monter une crème chantilly ?,Chantilly : battez de la crème liquide très froide jusqu'à obtenir une texture ferme et aérée !
Comment faire une pâte brisée ?,Pâte brisée : mélangez farine beurre froid sel et eau froide sans trop travailler la pâte !
Comment faire une pâte à pizza ?,Pâte à pizza : mélangez farine levure sel eau tiède et huile d'olive puis laissez lever 1 heure !
Comment faire du pain maison ?,Pain maison : mélangez farine levure sel et eau puis pétrissez 10 min laissez lever 1h et enfournez à 220°C !
Comment faire un risotto ?,Risotto : faites revenir riz dans du beurre ajoutez vin blanc puis bouillon louche par louche en mélangeant !
Comment faire une sauce tomate ?,Sauce tomate : faites revenir ail dans l'huile ajoutez tomates concassées herbes et laissez mijoter 20 minutes !
Comment faire un pesto ?,Pesto : mixez basilic frais ail parmesan pignons de pin et huile d'olive jusqu'à consistance homogène !
Comment faire du guacamole ?,Guacamole : écrasez avocats mûrs ajoutez citron vert tomate coriandre sel et piment selon goût !
Comment faire du houmous ?,Houmous : mixez pois chiches cuits tahini ail citron et huile d'olive jusqu'à texture crémeuse !
Comment faire une vinaigrette ?,Vinaigrette classique : mélangez 3 parts d'huile pour 1 part de vinaigre ajoutez moutarde sel et poivre !
Comment faire une mayonnaise maison ?,Mayonnaise : montez un jaune d'œuf avec de la moutarde en ajoutant l'huile goutte à goutte en fouettant !
Comment faire une omelette parfaite ?,Omelette parfaite : battez les œufs assaisonnez cuisez à feu vif en remuant puis pliez avant la fin de cuisson !
Comment faire cuire un steak ?,Steak : faites chauffer la poêle à feu vif cuisez 2-3 min de chaque côté pour saignant laissez reposer 2 min !
Comment faire rôtir un poulet ?,Poulet rôti : badigeonnez de beurre assaisonnez et enfournez à 200°C environ 1h30 selon la taille !
Comment faire cuire le poisson ?,Poisson : cuisez à la poêle au four ou en papillote à feu moyen 3-5 min de chaque côté selon l'épaisseur !
Comment faire cuire des œufs à la coque ?,Œufs à la coque : plongez-les dans l'eau bouillante et cuisez exactement 3 minutes pour le jaune coulant !
Comment faire des œufs durs ?,Œufs durs : plongez-les dans l'eau bouillante et cuisez 10-12 minutes puis plongez dans l'eau froide !
Comment faire des œufs pochés ?,Œufs pochés : faites tourbillonner l'eau vinaigrée puis plongez délicatement l'œuf et cuisez 3-4 minutes !
Comment faire une purée lisse ?,Purée lisse : cuisez pommes de terre à l'eau écrasez avec beurre et lait chaud assaisonnez !
Comment faire un gratin dauphinois ?,Gratin : tranchez finement pommes de terre disposez en couches ajoutez crème ail sel et cuisez 1h à 180°C !
Comment faire une tarte tatin ?,Tarte tatin : caramélisez des pommes dans du beurre et sucre recouvrez de pâte et enfournez 30 min !
Comment faire des crêpes ?,Crêpes : mélangez farine œufs lait et beurre fondu reposez 30 min puis cuisez dans une poêle chaude !
Comment faire des blinis ?,Blinis : mélangez farine levure lait œufs et cuisez de petites galaises épaisses dans une poêle !
Comment faire du pain perdu ?,Pain perdu : trempez du pain rassis dans un mélange œufs lait sucre vanille et faites dorer à la poêle !
Comment faire un soufflé ?,Soufflé : faites une béchamel ajoutez jaunes d'œufs et garniture puis incorporez les blancs montés en neige !
Comment faire des gnocchi ?,Gnocchi : mélangez pommes de terre cuites farine et œuf formez des boudins coupez et cuisez dans l'eau bouillante !
Comment faire de la pasta fraîche ?,Pasta fraîche : mélangez 100g de farine et 1 œuf par personne pétrissez reposez 30 min étalez et découpez !
Comment faire une quiche lorraine ?,Quiche lorraine : foncez un moule de pâte garnissez de lardons puis versez un appareil œufs crème sel !
Comment faire un tiramisu ?,Tiramisu : trempez biscuits dans café fort alternez avec crème mascarpone-œufs-sucre réfrigérez 4h !
Comment faire une crème brûlée ?,Crème brûlée : faites chauffer crème avec vanille versez sur jaunes-sucre battus cuisez au bain-marie 40 min !
Comment faire une mousse au chocolat ?,Mousse au chocolat : faites fondre le chocolat incorporez aux jaunes d'œufs puis aux blancs montés en neige !
Comment faire un brownie ?,Brownie : faites fondre chocolat et beurre ajoutez sucre œufs et farine enfournez 20-25 min à 180°C !
Comment faire des cookies ?,Cookies : mélangez beurre sucres œuf vanille farine levure et pépites cuisez 10-12 min à 180°C !
Comment faire un fondant au chocolat ?,Fondant : faites fondre chocolat beurre ajoutez sucre œufs et farine cuisez 12 min à 200°C !
Comment faire un cheesecake ?,Cheesecake : mixez biscuits beurre pour la base battez cream cheese œufs sucre et cuisez au bain-marie !
Comment tempérer le chocolat ?,Tempérage : faites fondre à 50°C refroidissez à 27°C puis réchauffez à 31°C pour un chocolat brillant !
Comment faire un sirop de sucre ?,Sirop de sucre : faites bouillir parts égales d'eau et de sucre jusqu'à dissolution complète !
Comment blanchir des légumes ?,Blanchir : plongez les légumes dans l'eau bouillante salée 2-3 min puis dans l'eau glacée pour arrêter la cuisson !
Comment faire une chiffonnade ?,Chiffonnade : empilez les feuilles de salade ou basilic roulez-les en cigare et tranchez finement !
Comment faire une julienne ?,Julienne : coupez les légumes en bâtonnets très fins de 5-6 cm de long !
Comment faire une brunoise ?,Brunoise : coupez les légumes en julienne puis recoupez en tout petits dés de 2-3 mm !
Comment faire un mirepoix ?,Mirepoix : coupez carottes oignons et céleri en dés de 1 cm pour une base aromatique !
Comment déglacer une poêle ?,Déglacer : après avoir saisi une viande versez vin bouillon ou eau dans la poêle chaude et grattez les sucs !
Comment flamber un plat ?,Flambé : chauffez l'alcool versez sur le plat chaud et enflammez avec une longue allumette !
Comment faire une marinade ?,Marinade : mélangez acide (citron vinaigre) huile herbes épices et laissez mariner la viande au moins 2h !
Comment faire une saumure ?,Saumure : dissolvez 50g de sel par litre d'eau froide et immergez votre viande ou poisson !
Comment attendrir la viande ?,Attendrissez la viande avec une marinade acide en la battant au maillet ou en la cuisinant lentement à basse température !
Comment ne pas rater sa sauce ?,Pour ne pas rater une sauce : liez avec de la fécule ou de la crème et ajoutez-les toujours hors du feu d'abord !
Comment rattraper une sauce trop salée ?,Sauce trop salée : ajoutez une pomme de terre crue qui absorbera le sel ou diluez avec plus de liquide !
Comment rattraper une sauce trop épaisse ?,Sauce trop épaisse : ajoutez progressivement du bouillon ou de l'eau chaude en mélangeant !
Comment rattraper une sauce trop liquide ?,Sauce trop liquide : faites-la réduire à feu vif ou ajoutez un peu de fécule délayée dans l'eau froide !
Comment ne pas rater ses crêpes ?,Pour des crêpes réussies : reposez la pâte 30 min utilisez une poêle bien chaude et huilée légèrement !
Je n'ai pas de crème fraîche,Remplacez par du yaourt grec ou du lait concentré non sucré dans la même quantité !
Je n'ai pas d'œufs,Remplacez 1 œuf par 1 banane écrasée ou 3 cuillères de compote de pommes !
Je n'ai pas de beurre,Remplacez le beurre par de l'huile de coco ou de l'huile d'olive dans la même quantité !
Je n'ai pas de farine,Utilisez de la fécule de maïs ou de la farine de riz comme substitut !
Je n'ai pas de lait,Remplacez le lait par du lait d'amande du lait de soja ou du lait de coco !
Je n'ai pas de sucre,Remplacez le sucre par du miel de l'agave ou de la stévia !
Je n'ai pas d'ail frais,Remplacez par de l'ail en poudre (1/4 cuillère à café = 1 gousse) !
Je n'ai pas de citron,Remplacez par du vinaigre blanc ou du jus de lime en même quantité !
Je n'ai pas d'huile d'olive,Remplacez par de l'huile de tournesol ou de l'huile de colza !
Je n'ai pas de tomates fraîches,Utilisez des tomates en boîte ou de la purée de tomates comme substitut !
Je n'ai pas de vin blanc pour cuisiner,Remplacez par du bouillon de légumes ou du jus de citron dilué dans l'eau !
Je n'ai pas de chapelure,Remplacez par du pain grillé mixé des cornflakes écrasés ou de la farine !
Je n'ai pas de levure chimique,Remplacez par 1 cuillère de bicarbonate + 2 cuillères de jus de citron !
Je n'ai pas de moutarde,Remplacez par du raifort ou de la mayo avec un peu de vinaigre !
Je n'ai pas de miel,Remplacez par du sirop d'érable du sirop d'agave ou du sucre dissout dans peu d'eau !
Je n'ai pas de vinaigre,Remplacez par du jus de citron dans la même quantité !
Je n'ai pas de crème de coco,Remplacez par du yaourt de soja ou de la crème fraîche avec une touche de noix de coco râpée !
Je n'ai pas de sauce soja,Remplacez par du tamari (sans gluten) ou un mélange sel eau et un peu de sauce Worcestershire !
Je n'ai pas de tahini,Remplacez par du beurre de cacahuètes dilué ou de la purée d'amandes !
Je n'ai pas de parmesan,Remplacez par du pecorino romano ou de la levure nutritionnelle pour une version vegan !
Je n'ai pas de ricotta,Remplacez par du fromage blanc ou du cream cheese allégé !
Je n'ai pas de mascarpone,Remplacez par du cream cheese mélangé à de la crème fraîche en proportions égales !
Je n'ai pas de lait de coco,Remplacez par de la crème de soja ou de la crème d'avoine avec un peu de noix de coco râpée !
Je n'ai pas de curry en poudre,Mélangez curcuma cumin coriandre et gingembre en poudre pour approximer le curry !
Je n'ai pas de paprika,Remplacez par un mélange de piment doux et de cumin ou utilisez du poivron rouge séché mixé !
Je n'ai pas de cumin,Remplacez par de la coriandre moulue ou du carvi qui ont des saveurs similaires !
Je n'ai pas de curcuma,Remplacez par du safran (en petite quantité) ou de la poudre de curry !
Je n'ai pas de gingembre frais,Remplacez par 1/4 de cuillère à café de gingembre en poudre pour 1 cuillère à café de frais !
Je n'ai pas de coriandre fraîche,Remplacez par du persil frais avec quelques gouttes de jus de citron vert !
Je n'ai pas de basilic frais,Remplacez par du persil ou de l'origan frais le résultat sera différent mais savoureux !
Je n'ai pas de crème liquide,Remplacez par du lait entier additionné de beurre fondu ou du yaourt entier !
Je n'ai pas de fromage blanc,Remplacez par du yaourt nature égoutté ou du cottage cheese !
Je n'ai pas de bouillon cube,Remplacez par de l'eau chaude avec du sel herbes et légumes ou faites un bouillon maison !
Je n'ai pas de pâte feuilletée,Remplacez par de la pâte brisée pour les tartes ou de la pâte à pain pour les friands !
Je n'ai pas de pâte brisée,Faites-la maison : 250g farine 125g beurre 1 pincée sel et 50ml eau froide !
Je n'ai pas de gélatine,Remplacez par de l'agar-agar (2g d'agar = 3 feuilles de gélatine) pour une version végane !
Je n'ai pas de maïzena,Remplacez par de la fécule de pomme de terre ou de l'arrow-root dans les mêmes quantités !
Je n'ai pas de chocolat noir,Remplacez par du cacao en poudre + huile de coco + sucre selon la recette !
Je n'ai pas de cacao en poudre,Remplacez par du chocolat noir fondu (30g = 3 cuillères de cacao + 1 cuillère de sucre + 1 cuillère de beurre) !
Je n'ai pas de noix de muscade,Remplacez par de la cannelle ou du macis qui a une saveur similaire !
Je n'ai pas de cannelle,Remplacez par de la muscade ou de la cardamome pour une saveur chaude similaire !
Je n'ai pas de vanille liquide,Remplacez par de la vanille en poudre (1/4 cuillère) ou du sucre vanillé !
Je n'ai pas de poudre d'amandes,Remplacez par des amandes mixées finement ou de la poudre de noisettes !
Je n'ai pas de pain de mie,Remplacez par du pain de campagne tranché ou du pain complet !
Je n'ai pas de maïs en boîte,Remplacez par du maïs surgelé décongelé ou du maïs frais égrené !
Je n'ai pas de haricots en boîte,Remplacez par des haricots secs préalablement trempés 12h puis cuits 1h à 1h30 !
Je n'ai pas de pois chiches en boîte,Remplacez par des pois chiches secs trempés 12h et cuits 1h30 !
Je n'ai pas de crème aigre,Remplacez par du yaourt entier ou de la crème fraîche avec quelques gouttes de jus de citron !
Je n'ai pas de vinaigre balsamique,Remplacez par du vinaigre de vin rouge avec une touche de miel ou de sucre !
Je n'ai pas de piment,Remplacez par du poivre de Cayenne (en moindre quantité) ou du poivre noir !
Comment conserver ce plat ?,La plupart des plats cuisinés se conservent 3 à 4 jours au réfrigérateur dans un contenant hermétique !
Puis-je congeler ce plat ?,La plupart des plats peuvent être congelés jusqu'à 3 mois. Évitez de congeler les plats avec crème fraîche !
Comment réchauffer ce plat ?,Réchauffez au micro-ondes 2-3 minutes ou à la poêle à feu doux avec un peu d'eau ou d'huile !
Combien de temps ce plat se conserve ?,Un plat cuisiné se conserve généralement 3-4 jours au frigo et jusqu'à 3 mois au congélateur !
Comment conserver les herbes fraîches ?,Conservez les herbes dans un verre d'eau au frigo comme un bouquet de fleurs ou enveloppées dans du papier humide !
Comment conserver l'avocat coupé ?,Conservez l'avocat avec son noyau arrosez de jus de citron et couvrez d'un film alimentaire au contact !
Comment conserver le pain ?,Conservez le pain dans un sac en tissu à température ambiante ou tranchez et congelez-le !
Comment conserver les fraises ?,Ne lavez les fraises qu'avant consommation et conservez-les au réfrigérateur jusqu'à 3 jours !
Comment conserver la salade ?,Conservez la salade essorée dans un contenant avec du papier absorbant au réfrigérateur jusqu'à 5 jours !
Comment conserver les champignons ?,Conservez les champignons dans un sac en papier au réfrigérateur et utilisez-les dans les 3-4 jours !
Comment conserver le fromage ?,Enveloppez le fromage dans du papier sulfurisé puis dans un sac hermétique et conservez au frigo !
Comment conserver le poisson cru ?,Le poisson cru se conserve maximum 2 jours au frigo. Pour plus longtemps : congelez-le !
Comment conserver la viande crue ?,La viande crue se conserve 2-3 jours au réfrigérateur ou plusieurs mois au congélateur !
Comment décongeler correctement ?,Décongelez toujours au réfrigérateur jamais à température ambiante pour éviter la prolifération bactérienne !
Comment conserver les restes de riz ?,Réfrigérez le riz cuit rapidement et consommez dans les 24h. Ne réchauffez qu'une seule fois !
Comment conserver les pâtes cuites ?,Les pâtes cuites se conservent 3-5 jours au frigo. Ajoutez un filet d'huile pour éviter qu'elles collent !
Comment conserver les légumes coupés ?,Conservez les légumes coupés dans des contenants hermétiques avec un peu d'eau au réfrigérateur !
Comment conserver les œufs ?,Les œufs se conservent jusqu'à 4 semaines au réfrigérateur. Ne les lavez pas avant utilisation !
Comment conserver le lait ?,Le lait ouvert se conserve 3-5 jours au réfrigérateur fermé à l'abri des odeurs !
Comment conserver le jus de citron ?,Le jus de citron se conserve 2-3 jours au frigo dans un contenant hermétique !
Comment conserver les tomates ?,Les tomates mûres se conservent à température ambiante. Une fois coupées mettez-les au frigo jusqu'à 3 jours !
Comment conserver les pommes de terre ?,Conservez les pommes de terre dans un endroit frais sombre et sec. Jamais au réfrigérateur !
Comment conserver les oignons ?,Conservez les oignons entiers dans un endroit frais et sec loin des pommes de terre !
Comment conserver l'ail ?,Conservez l'ail entier à température ambiante dans un endroit aéré. Une fois pelé mettez au frigo !
Peut-on recongeler après décongélation ?,Non ! Ne recongelez jamais un aliment décongelé cru. Vous pouvez congeler un aliment cuit après décongélation !
Comment savoir si un aliment est périmé ?,Fiez-vous à l'odeur la texture et la couleur. En cas de doute jetez le produit plutôt que de prendre des risques !
Comment congeler des herbes fraîches ?,Hachez les herbes placez-les dans des bacs à glaçons avec de l'eau ou de l'huile et congelez !
Comment conserver les épices ?,Conservez les épices dans des contenants hermétiques à l'abri de la lumière et de l'humidité jusqu'à 2 ans !
Comment conserver les noix et amandes ?,Conservez les noix dans un contenant hermétique au réfrigérateur jusqu'à 6 mois ou au congélateur 1 an !
Comment conserver les sauces maison ?,Les sauces maison se conservent 3-5 jours au réfrigérateur dans un pot hermétique stérilisé !
Je veux faire une pizza,Pour une pizza maison : avez-vous de la farine de la tomate du fromage et de la levure ?
Je veux faire un burger,Pour un burger maison : avez-vous du bœuf haché du pain des tomates et de la salade ?
Je veux faire une salade,Quels légumes avez-vous ? Je vous trouve la meilleure combinaison pour votre salade !
Je veux faire une soupe,Quels légumes ou viandes avez-vous ? Je vous recommande la recette parfaite pour votre soupe !
Je veux faire un gâteau,Avez-vous de la farine du sucre des œufs et du beurre ?
Je veux faire des crêpes,Avez-vous de la farine du lait des œufs et du beurre ?
Je veux faire du riz sauté,Avez-vous du riz des légumes des œufs et de la sauce soja ?
Je veux faire un curry,Avez-vous du lait de coco du curry des légumes ou de la viande ?
Je veux faire un smoothie,Quels fruits avez-vous ? Banane fraises mangue ou autre ?
Je veux faire des pâtes,Avez-vous de la sauce tomate du fromage ou de la crème ? Précisez pour une meilleure recommandation !
Je veux faire une tarte,Pour une tarte : avez-vous de la pâte brisée des fruits ou des légumes pour la garniture ?
Je veux faire un rôti,Pour un rôti : avez-vous du bœuf du porc ou du poulet et des herbes pour l'assaisonnement ?
Je veux faire un tajine,Pour un tajine : avez-vous agneau ou poulet avec épices comme cumin coriandre et cannelle ?
Je veux faire une paella,Pour une paella : avez-vous du riz du safran des fruits de mer ou du poulet et du chorizo ?
Je veux faire des sushis,Pour des sushis : avez-vous du riz à sushi du poisson frais de l'algue nori et du vinaigre de riz ?
Je veux faire des tacos,Pour des tacos : avez-vous des tortillas de la viande hachée de l'avocat et du fromage ?
Je veux faire un gratin,Pour un gratin : avez-vous des légumes de la crème et du fromage à gratiner ?
Je veux faire un pot-au-feu,Pour un pot-au-feu : avez-vous du bœuf à bouillir des carottes navets et poireaux ?
Je veux faire une blanquette,Pour une blanquette de veau : avez-vous du veau des champignons et de la crème fraîche ?
Je veux faire un bœuf bourguignon,Pour le bœuf bourguignon : avez-vous du bœuf du vin rouge des champignons et des lardons ?
Je veux faire un coq au vin,Pour le coq au vin : avez-vous du poulet du vin rouge des champignons et des lardons ?
Je veux faire des frites maison,Pour des frites maison : avez-vous des pommes de terre de l'huile et du sel ?
Je veux faire des beignets,Pour des beignets : avez-vous de la farine des œufs du lait de la levure et de l'huile pour frire ?
Je veux faire un clafoutis,Pour un clafoutis : avez-vous des cerises ou autres fruits des œufs du lait et de la farine ?
Je veux faire des macarons,Pour des macarons : avez-vous de la poudre d'amandes du sucre glace et des blancs d'œufs ?
Je veux faire un éclair,Pour des éclairs : avez-vous de la farine du beurre des œufs et de la crème pâtissière ?
Je veux faire une tarte tatin,Pour une tarte tatin : avez-vous des pommes du beurre du sucre et de la pâte feuilletée ?
Je veux faire de la confiture,Pour de la confiture : avez-vous des fruits du sucre et de la pectine ou citron ?
Je veux faire du pain,Pour du pain maison : avez-vous de la farine de la levure du sel et de l'eau ?
Je veux faire de la brioche,Pour une brioche : avez-vous de la farine de la levure du beurre des œufs et du sucre ?
C'est pour un dîner romantique,Donnez-moi vos ingrédients et je vous suggère une recette élégante et savoureuse !
Je reçois des invités,Listez vos ingrédients et je vous propose une recette pour impressionner vos invités !
C'est pour un repas de fête,Dites-moi vos ingrédients et je vous trouve une recette festive !
C'est pour un repas en famille,Quels ingrédients avez-vous ? Je vous trouve quelque chose que tout le monde adorera !
Je veux préparer un brunch,Quels ingrédients avez-vous ? Œufs avocat fromage ou fruits ?
C'est pour un pique-nique,Quels ingrédients avez-vous ? Je vous suggère des recettes faciles à transporter !
Je veux faire un repas de Noël,Donnez-moi vos ingrédients et je vous propose des recettes festives et savoureuses !
C'est pour un anniversaire,Quels ingrédients avez-vous ? Je vous suggère quelque chose de spécial !
Je veux faire un apéritif,Pour l'apéritif : avez-vous des tomates cerises olives charcuteries ou fromages ?
Je veux faire un buffet,Pour un buffet : listez vos ingrédients et je vous propose une sélection de plats variés !
Je veux faire un repas de Saint-Valentin,Pour la Saint-Valentin : des recettes romantiques et raffinées. Quels ingrédients avez-vous ?
Je veux faire un repas de Pâques,Pour Pâques : agneau asperges et desserts aux œufs sont traditionnels. Qu'avez-vous ?
Je veux faire un repas d'Halloween,Pour Halloween : des recettes créatives et fun ! Citrouille patate douce et couleurs sombres !
C'est pour le Nouvel An,Pour le Nouvel An : des recettes festives et raffinées. Quels ingrédients avez-vous ?
C'est pour la fête des mères,Pour la fête des mères : une recette spéciale et délicate. Quels ingrédients avez-vous ?
Je veux surprendre quelqu'un,Pour surprendre quelqu'un : donnez-moi vos ingrédients et je vous propose une recette originale !
Je veux cuisiner un plat du monde,Quel pays vous inspire ? Italie Maroc Japon Mexique ou autre ? Je vous trouve une recette authentique !
Je veux une recette originale,Listez vos ingrédients et je vous propose une combinaison originale et savoureuse !
Je veux impressionner mes invités,Quels ingrédients avez-vous ? Je vous trouve une recette de chef pour épater vos invités !
Je veux faire un repas complet,Pour un repas complet : donnez-moi vos ingrédients et je planifie entrée plat principal et dessert !
Je n'ai pas de four,Pas de problème ! Je vais filtrer les recettes faisables à la poêle ou à la casserole. Quels ingrédients ?
Je n'ai qu'une seule poêle,Je vous recommande des recettes one-pan (tout en une seule poêle). Quels ingrédients ?
J'ai un Air Fryer,Super ! Quels ingrédients avez-vous ? Je vous trouve une recette adaptée à votre Air Fryer !
J'ai un blender,Avec un blender : soupes veloutées smoothies et sauces sont à votre portée. Quels ingrédients ?
J'ai une mijoteuse,Quels ingrédients avez-vous ? Je vous trouve une recette parfaite pour votre mijoteuse !
J'ai un Thermomix,Excellent ! Le Thermomix simplifie beaucoup de recettes. Quels ingrédients avez-vous ?
J'ai un barbecue,Pour le barbecue : viandes poissons et légumes grillés sont parfaits ! Quels ingrédients ?
J'ai une plancha,La plancha est parfaite pour les viandes poissons et légumes ! Quels ingrédients avez-vous ?
J'ai un wok,Le wok est idéal pour la cuisine asiatique et les sautés rapides ! Quels ingrédients avez-vous ?
J'ai un cuiseur vapeur,La cuisson vapeur est saine et délicate ! Quels aliments voulez-vous cuire ?
J'ai une machine à pain,Super ! La machine à pain simplifie tout. Avez-vous farine levure sel et eau ?
J'ai une sorbetière,Excellent ! Avez-vous des fruits de la crème ou du lait pour faire une glace ou un sorbet ?
J'ai un robot pâtissier,Un robot pâtissier est parfait pour les gâteaux et pains ! Quels ingrédients avez-vous ?
J'ai un food processor,Parfait pour hacher émincer et préparer des sauces ! Quels aliments voulez-vous préparer ?
J'ai un mixeur plongeant,Excellent pour les soupes veloutées et les sauces ! Quels ingrédients avez-vous ?
J'ai une friteuse,Pour des recettes croustillantes ! Avez-vous des pommes de terre du poulet ou des légumes ?
J'ai une cocotte en fonte,La cocotte est parfaite pour les mijotés et braisés ! Quels ingrédients avez-vous ?
J'ai un moule à cake,Pour des cakes salés ou sucrés ! Avez-vous farine œufs beurre et une garniture ?
J'ai un moule à manqué,Pour des gâteaux ronds ! Avez-vous farine sucre œufs et beurre ?
J'ai une poche à douille,Pour décorer des gâteaux ou faire des choux ! Quelle préparation souhaitez-vous faire ?
Je cuisine à l'induction,L'induction fonctionne avec tous les ustensiles magnétiques. Quels ingrédients avez-vous ?
Je n'ai pas de balance,Pas de problème ! Je peux vous donner des recettes avec mesures en cuillères et verres !
Je n'ai pas de couteau bien aiguisé,Pour cuisiner sans bon couteau : privilégiez les légumes tendres et les recettes simples !
Je n'ai pas de casserole,Cuisinez à la poêle ou au four ! Quels ingrédients avez-vous ?
J'ai seulement un micro-ondes,Voici des recettes micro-ondes : œufs cocotte légumes vapeur et même gâteaux en tasse !
J'ai un grill électrique,Excellent pour viandes et légumes grillés ! Quels ingrédients avez-vous ?
J'ai une yaourtière,Super ! Avez-vous du lait entier et des ferments lactiques pour faire vos yaourts maison ?
J'ai un déshydrateur,Pour des fruits secs légumes séchés et des chips de légumes ! Quels aliments avez-vous ?
J'ai un fumoir,Pour fumer viandes poissons et fromages ! Quels aliments voulez-vous fumer ?
J'ai un sous vide,La cuisson sous vide garantit des résultats parfaits ! Quelle protéine voulez-vous cuisiner ?
Je veux cuisiner italien,Pour de la cuisine italienne : avez-vous des pâtes tomates fromage parmesan ou basilic ?
Je veux cuisiner asiatique,Pour de la cuisine asiatique : avez-vous du riz de la sauce soja du gingembre ou de l'ail ?
Je veux cuisiner mexicain,Pour de la cuisine mexicaine : avez-vous des tortillas des haricots de l'avocat ou du piment ?
Je veux cuisiner français,Pour de la cuisine française : avez-vous du beurre de la crème des herbes ou du vin ?
Je veux cuisiner indien,Pour de la cuisine indienne : avez-vous du curry du cumin du lait de coco ou du riz ?
Je veux cuisiner japonais,Pour de la cuisine japonaise : avez-vous du riz de la sauce soja du miso ou du poisson ?
Je veux cuisiner marocain,Pour de la cuisine marocaine : avez-vous des épices du poulet des pois chiches ou du couscous ?
Je veux cuisiner thaï,Pour de la cuisine thaï : avez-vous du lait de coco de la citronnelle du gingembre ou du piment ?
Je veux cuisiner espagnol,Pour de la cuisine espagnole : avez-vous du chorizo du safran des tomates ou du riz ?
Je veux cuisiner libanais,Pour de la cuisine libanaise : avez-vous du houmous du tahini de l'ail ou de l'agneau ?
