name,description,ingredients,etapes,source
Roasted Chicken with Spicy Maple Glaze,Roasted Chicken with Spicy Maple Glaze,"Ingredients  1 cup sugar snap peas  2 medium sweet potatoes, peeled, sliced 1/2 inch thick  1 cup chicken stock  1 tablespoon Dijon mustard  1 tablespoon soy sauce  1 clove garlic, minced  2 tablespoons Sriracha  1/2 cup maple syrup  1/2 tablespoon pepper  1 tablespoon salt  8 chicken drumsticks  1 tablespoon canola oil","Step by stepSet KitchenAid® Multi-Cooker to Sear 450 ºF and preheat.Add oil and heat for 1 minute. Season drumsticks with salt and pepper. Brown in batches for 10-12 minutes, turning each as needed until deep golden brown.Remove chicken from Cooking Pot and place on a plate to rest. Set Multi Cooker to Manual with the temperature set to 300 ºF.While unit cools, add all remaining ingredients except for vegetables. Stir well, cover and cook 2 to 3 minutes or until the mixture boils. Return chicken to Cooking Pot. Fill the Steam Basket with vegetables, place on top of Cooking Pot and cover with lid. Continue cooking on Manual 300 ºF for 20 minutes or until vegetables are cooked through.",kitchenaid
Almond Shortbread Cookies with Blood Orange Glaze,Almond Shortbread Cookies with Blood Orange Glaze,"Ingredients  Zest from 1 blood orange  1 tablespoon orange blossom water  1/4 cup water or milk  1/4 cup fresh blood orange juice  3 1/2 cups confectioner’s sugar (1/2 cup more for thicker glaze)  Zest of 1 blood orange  1 cup ground raw unsalted almonds  1/4 cup almond flour, sifted  1 cup all-purpose flour, sifted  1/4 cup Greek yogurt, unsweetened  2 drops pure vanilla extract  2 drops pure almond extract  1 egg, beaten  3/4 cup sugar  1 stick (8 tablespoons) unsalted butter","Step by stepFirst place the almonds in the blending pitcher of your KitchenAid® 5-Speed Hand Blender and process on high speed with the chopper attachment until finely ground.Then, in the bowl of your KitchenAid® Stand Mixer, use the flat beater to cream together the butter and sugar until light and fluffy. Stir in the egg and vanilla extract to incorporate. Add the sifted flours, ground almonds and orange zest and mix until the dough comes together.Place the dough onto a floured surface and knead into a ball, divide dough in half with a Professional Series 8″ Chef’s Knife from the KitchenAid® 7pc Professional Series Cutlery Set. Roll each half into a log about 1 1/2 inches in diameter. Wrap each log in plastic wrap and chill in the refrigerator for at least an hour.Remove one batch of dough from the plastic wrap and slice into 1/4 inch rounds using the Professional Series 3.5″ Paring Knife from the KitchenAid® 7pc Professional Series Cutlery Set.Preheat your KitchenAid® 12″ Convection Digital Countertop Oven to 350 degrees F and set the timer to 15 minutes. Once the oven is ready, the digital timer will beep and light up to let you know. Line the multipurpose pan included with the Countertop Oven with parchment paper cut into a circle to cover the surface, place the cookies on the sheet and bake for about 15 minutes until edges are lightly golden brown.Let the cookies cool on the baking sheet for a few minutes.In the bowl of your KitchenAid® Stand Mixer, add the butter and sugar and cream together with the flat beater until light and fluffy. Stir in the egg and vanilla extract to incorporate. Add the sifted flours, ground almonds and orange zest and mix until the dough comes together.Place the dough on to a floured surface and knead into a ball, divide dough in half with a Professional Series 8″ Chef’s Knife from the KitchenAid® 7pc Professional Series Cutlery Set. Roll each half into a log about 1 1/2 inches in diameter. Wrap each log in plastic wrap and chill in the refrigerator for at least an hour.Preheat your KitchenAid® 12″ Convection Digital Countertop Oven to 350 degrees F and line the baking sheet with parchment paper cut into a circle to cover surface.Remove one batch of dough from the plastic wrap and slice into 1/4 inch rounds using the Professional Series 3.5″ Paring Knife from the KitchenAid® 7pc Professional Series Cutlery Set. Place the cookies on the multipurpose pan that accompanies your Countertop Oven and bake for about 15 minutes until edges are lightly golden brown. Let the cookies cool on the baking pan for a few minutes, then transfer to the cooling rack to cool completely.Repeat with second batch of dough, letting cookies cool completely on cooling rack while preparing the Blood Orange glaze.For blood orange glazeIn a medium mixing bowl, combine the powdered sugar, blood orange juice, and zest, and stir until smooth with no lumps. Add water or milk until you get a smooth but semi-thick glaze. (You can adjust thickness by adding more water/milk to make it thinner or more powdered sugar to make it thicker, just play with it until you get the consistency you like.)Make sure cookies are completely cooled, then place them on a baking sheet with parchment paper to do your glazing. Spoon the glaze onto each cookie and spread evenly over the tops of the cookies. Let the glaze set and harden for a couple of hours before serving.",kitchenaid
Spicy Eggplant and Sausage Zucchini Pasta,Spicy Eggplant and Sausage Zucchini Pasta,"Ingredients  Salt and pepper, to taste  Salt and pepper, to taste  1 tablespoon extra virgin olive oil  1.5 cups diced eggplant (3/4” pieces)  2 tablespoons Pecorino Romano cheese, to garnish  2 medium zucchinis  1 large basil chiffonades  1 14-ounce can whole peeled tomatoes, drained  1/2 pound spicy Italian sausage, casings removed  2 large cloves of garlic, minced  1/2 teaspoon crushed red pepper flakes  1 tablespoon extra virgin olive oil","Step by stepHeat oven to 475 degrees. Place the eggplant in a bowl and drizzle in the olive oil. Toss the cubes to combine and season with salt and pepper. Transfer the eggplant to a baking sheet and bake, turning occasionally, until soft and browned, about 25 minutes. When done, set aside.While the eggplant is roasting, slice your zucchinis halfway lengthwise, careful not to pierce farther than the center. Spiralize the zucchinis, using Blade B. Spread out the zucchini noodles in a large serving bowl. Set aside.In a KitchenAid® Aluminum Nonstick Skillet 12” Skillet, heat the oil over medium heat. Once oil heats, add the red pepper flakes and garlic, cooking for 30 seconds or until garlic is fragrant.Then, add in the sausage and cook, breaking up the sausage into small pieces with a spatula or wooden spoon, until browned, about 10 minutes.Then, add in the tomatoes (crushing with your hands) and half of the basil. Season with salt and cook until mainly reduced, about 10 minutes.Once reduced, add the zucchini noodles to the skillet and toss to combine. Cook for 2-3 minutes, tossing occasionally, or until zucchini is cooked to al dente.Then, add in the cooked eggplant, remaining basil and toss to combine.Transfer to the large serving bowl and garnish with Pecorino Romano cheese. Serve immediately.",kitchenaid
Blackberry Marshmallow,Blackberry Marshmallow,Ingredients  1/2 cup powdered sugar  1/2 cup corn starch  1 teaspoon pure vanilla extract  1 pinch salt  2/3 cup white corn syrup  2 cups white sugar  3/4 ounces gelatin  1/2 cup water  1/2 cup blackberry puree (2 cups fresh blackberries),"Step by stepUsing a blender, puree the blackberries. Strain mixture twice to remove any pulp or seeds. Set aside 1/2 cup of the strained puree mixture.Line a 13x9 baking dish with parchment paper & grease with oil.Add 1/2 cup blackberry puree & gelatin into the bowl of a stand mixer. Let stand until the gelatin softens, about 10 minutes.Add water into a sauce pan over medium heat. Add sugar, corn syrup & salt. Stir until sugar dissolves.Increase heat to high & boil (do not stir) until temperature reaches 230-250 degrees, about 6-8 minutes.Using the whisk attachment, turn on mixer to low speed & slowly pour in boiling hot syrup.Once syrup is mixed evenly with the gelatin, add vanilla & increase speed to high. Beat until mixture is thick & fluffy, about 15 minutes.Pour into baking dish immediately & let stand at room temperature until firm, about 2-3 hours.Sift corn starch & powdered sugar over mixture before slicing. Toss each slice in the powdered sugar mixture as well to prevent them from sticking together once stored!",kitchenaid
Apple Brie Crostini,Apple Brie Crostini,"Ingredients  4 chives, snipped  1/2 cup toasted, crumbled walnuts  .5 oz Créme de Brie  3 Tbs honey  1 Honey crisp apple, cored  1 baguette, sliced into 1/2 inch rounds","Step by stepPreheat oven to 375 degrees. Lightly brush each baguette round with extra virgin olive oil and bake for 8-10 minutes or until just beginning to brown.Position the slicing disc in the work bowl of a KitchenAid® Pro Line® 16 cup Food Processor with the slice setting set all the way to the right for thick slices. Place the apple pieces vertically into the feed tube.Spread 1 teaspoon Brie on each crostini, top with one apple slice, and drizzle 1/4 teaspoon of honey over top. Sprinkle with walnuts evenly then garnish with the chives.Tip: Pears can be substituted for apples if desired.",kitchenaid
Air-Fried Strawberry Hand Pies,Air-Fried Strawberry Hand Pies,"Ingredients  1 lemon (for zest)  1/4 cup lemon juice (59 mL)  2 pinches salt (for filling)  1/2 cup sugar (99 g)  2 tablespoons cornstarch (15 g)  2 1/2 cups frozen strawberries (360 g)  1/2 cup ice water (118 mL)  1/2 teaspoon salt (for dough)  1 tablespoon sugar (21 g)  1 cup butter (226 g, cut into cubes and frozen)  2 1/2 cups all-purpose flour (300 g)","Step by stepSPECIAL EQUIPMENT: KitchenAid® Dual Convection Air Fry Oven with Air Fry Basket or KitchenAid® Induction Range with Air Fry Mode; saucepan; food processor; rolling pinMake the filling. Whisk together sugar and cornstarch; set aside. Place the strawberries, lemon zest, and lemon juice into a small saucepan on medium heat. Cover the saucepan and allow to cook to defrost the berries. Stir occasionally to prevent scorching. When berries are softened (about 4-5 minutes), remove cover and add in sugar mixture. Use a wooden spatula to stir the mixture into the strawberries, scraping the bottom of the pan as you stir. Once strawberries are broken down but still chunky, turn off heat. Transfer strawberry mixture to a heat proof bowl, cover with plastic wrap, and set aside to cool.While the strawberry mixture is cooling, prepare the dough. In the bowl of a food processor, add the flour, cubed frozen butter, sugar, and salt. Pulse 4-5 times. Slowly pour the water through the food tube about two tablespoons at a time, and pulse after each addition.Turn the mixture into a large bowl and gently knead the dough until it all comes together, being careful not to overwork the dough. Wrap the dough in plastic and rest in the refrigerator until filling is cool. (NOTE: if the dough is a bit dry, add a tablespoon of water and continue working by hand.)Assembly: Generously flour your work surface and roll the dough into a large rectangle about 1/4-inch thick and 12 inches tall x 16 inches wide. Use a sharp knife to trim the edges of the dough to create fairly straight edges, then cut the dough into four quarters, and each quarter into four equal pieces. Match up pairs of the rectangles and lay them in front of you. Then, slice 2-3 slits into the center of one piece of dough in each pair. (You can also use a small decorative cutter no larger than a penny to create a single punch out in place of slits.) The vented piece will be the top of the hand pie.Place about two tablespoons of filling into the center of a layer of dough, and take its pair (with the vents already cut out) and gently stretch it so it will fit over the filling and match the bottom edges of dough. Use a fork to press and seal the outer edges of the dough and secure the filling. Repeat until all hand pies are assembled.Use a spatula to transfer the hand pies from the countertop into KitchenAid® No Flip Air Fry Basket, leaving about 1/2 inch of space between each pie. Egg wash the tops of the exposed dough, and generously sprinkle decorative sugar over the tops.Place the air fry basket into the freezer to chill while you preheat the oven. Turn the KitchenAid® Dual Convection Air Fry Oven to Air Fry setting, temperature to 425°F/220°C, and the time to 17 minutes. Once preheat is done, move the hand pies from the freezer and into the oven on the middle level.Begin checking hand pies around 14 minutes. Hand pies are done when the crust is golden brown, and the juices are bubbling through the center vents. Chef’s Notes: When rolling out the dough, be sure to keep the the counter generously floured to prevent sticking. Also, roll the dough once. You can can re-roll excess dough you trim from the edges, but additionally rolling/working the dough will make the dough less flaky. Dip your fork in a bit of flour when sealing the edges of the hand pies. It will help the fork release from the dough easier.",kitchenaid
Caraway Seed Crispbread,,Ingredients  Flaky sea salt  Olive oil    3/4 cup tap water   1 teaspoon caraway seeds  1 teaspoon cayenne powder   1 teaspoon fine sea salt   1 cup whole-wheat flour   1 cup all-purpose flour,"Step by stepPlace the all-purpose flour, whole-wheat flour, salt, cayenne, and caraway seeds in the bowl of the KitchenAid® Custom Metallic® Series Stand Mixer. Use the flat beater to mix the ingredients at low speed.Once combined, slowly drizzle the water from one side and mix on low speed until the mixture acquires a flaky texture.Stop the Stand Mixer and transfer the mixture to a clean surface. Knead by hand, just long enough to bring the dough together. Divide the dough into four equal parts and wrap with plastic wrap. Let the dough rest for 30 minutes at room temperature.Working with one piece of dough at a time, roll out one ball of dough using a rolling pin. Don’t worry about getting it too thin as the dough just needs to be thin enough to go through the widest setting on the Pasta Roller from the KitchenAid® 3-Piece Pasta Roller & Cutter Set. Use a little flour if the dough is sticky.Attach the Pasta Roller to the power hub of the Stand Mixer. With the dial on the Pasta Roller set to 1 and the speed set to the lowest, pass the dough carefully through the Pasta Roller. Repeat this three times. Then switch the dial to 2 and repeat three times. Do this until you reach setting 4 on the dial of the Pasta Roller, carefully handling the dough as it stretches.Lay the stretched out dough on a clean counter. It will be about 3″ wide. Cut the dough with a sharp knife and place them on a baking sheet lined with parchment paper. Prepare the remaining pieces of dough and keep them separate on the baking sheets lined with parchment paper. Let them dry for about 1 hour.Preheat the oven to 350° F. Brush each piece of stretched out dough with a little olive oil and sprinkle generously with the flaky salt. Bake in the oven for 6-8 minutes until golden brown, rotating the pan halfway through baking. Remove the baking pan from the oven and transfer the crispbread pieces onto a wire rack to cool completely.Serve the crispbreads with cheese or dips such as hummus or salsa. Store in an airtight container for about 2 weeks.",kitchenaid
Caramel Crema with White Chocolate Crunch Shave Ice,Uses [KitchenAid® Stand Mixer](https://www.kitchenaid.com/countertop-appliances/stand-mixers.html) and [Shave Ice Attachment](https://www.kitchenaid.com/countertop-appliances/stand-mixers/accessories/p.shave-ice-attachment.ksmsia.html?),"Ingredients  1 pinch cardamom (extra for color, for garnish)  Caramel sauce (optional, for garnish)  1/4 cup powdered sugar (30 g)  1 tsp. cardamom powder (2.6 g)  1/2 cup white chocolate chips (92 g)  1 cup crispy rice cereal (30 g)  1 pinch kosher salt (0.9 g)  1 tsp. caramel extract (4 g)  1/2 cup heavy cream (125 mL)  14 oz. sweetened condensed milk (414 mL)  12 oz. evaporated milk (354 mL)  4 blocks ice (plain water molds)","Step by stepFill 4 molds with plain water to the fill line. Freeze molds for 12 to 24 hours.In a large bowl, combine 1 can evaporated milk, 1 can sweetened condensed milk, 1/2 cup (125 mL) heavy cream, caramel extract and salt. Whisk until well combined. Chill for at least 1 hour until very cold.Add 1 cup (30 g) crispy rice cereal to a bowl. Melt 1/2 cup (92 g) white chocolate in a separate glass bowl in the microwave, stir every 30 seconds until smooth. It should be pourable by 1 1/2 minutes. Add 1 tsp. (2.6 g) cardamom powder to melted chocolate and stir. Drizzle cereal with the warm chocolate. Stir until evenly coated. Coat with 1/4 cup (30 g) powdered sugar and mix until combined, breaking up any clumpy bits with a spoon. Sift out excess powdered sugar and let cool completely and set aside until use.This recipe does require tempering. Top shave ice with crema syrup until the ice is coated.Garnish with cardamom crisps and a drizzle of caramel sauce.Tips: You can use store bought cereal to top your shave ice. Sugar frosted or cinnamon crunchy cereal flakes are best as an alternative to making your own. Place them in a plastic bag and smash them into crunchy bits. You can use store-bought caramel sauce.",kitchenaid
Churro Quesadillas with Sweet Cream Cheese Filling,,"Ingredients  Sprinkling of sugar  Squeeze of lemon juice  Sliced fruit of choice  4 1/2 cups powdered sugar  1 teaspoon vanilla extract  1/2 teaspoon salt  12 tablespoons unsalted butter, softened  12 ounces cream cheese, softened  1/2 teaspoon cinnamon  1/4 cup sugar  1/4 cup unsalted butter, melted  1 teaspoon vanilla extract  3 large eggs  1 cup flour  1 cup water  2 tablespoons sugar  1/2 tsp salt  1/2 cup unsalted butter","Step by stepPreheat your KitchenAid® Combination Wall Oven to 350°F. Then, line the Half Sheet Pan from your KitchenAid® Nonstick Sheet Pans Set with parchment paper.Place your KitchenAid® 3.5-Quart Sauté on your Gas Cooktop over medium-high heat. Add the butter, salt, sugar, and water to the Sauté Pan after it has heated up. After the butter has melted, stir in the flour while the Sauté Pan is still over heat. When the flour is just incorporated, remove the Sauté Pan from the heat. Add in the eggs one at a time and stir very quickly, as you don’t want the eggs to cook before they are incorporated. Make sure the eggs are well incorporated into the batter. Finally, stir in the vanilla extract.Spoon the dough into a pastry bag fitted with a small to medium star tip. Make sure the dough is pasty and not too “eggy.” The dough should stick to the sides of the pastry bag. If it does not, you may need to add some water and flour to get the right consistency.Starting in the center and working your way around, pipe circular “tortilla” shapes onto the Half Sheet Pan. You should have enough batter to make approximately 4-6 “tortillas,” depending on the size of each round. Bake in the oven for about 25 minutes or until the outsides of the “tortillas” are golden brown.While the “tortillas” are baking, make the cream cheese filling. In the bowl of your KitchenAid® Stand Mixer fitted with the flat beater, whip together the cream cheese, butter, and salt. Then add the vanilla and powdered sugar and whip until the filling is creamy. Spoon the filling into a pastry bag fitted with a large star tip.In a separate bowl, mix the cinnamon and sugar together and set aside.When the “tortillas” are done baking but still warm, brush them with the melted butter and sprinkle the cinnamon sugar mixture. Pipe the filling onto one “tortilla,” and place another “tortilla” on top. Repeat this step with the remaining tortillas. Slice the “quesadillas” into four triangles.Mix together the sliced fruit, lemon juice, and sugar for the garnish. Let the fruit mixture sit for a few minutes to macerate. To serve, stack the “quesadilla” triangles and top with the fruit garnish.",kitchenaid
No-Bake Cranberry Swirl Cheesecake Bars,No-Bake Cranberry Swirl Cheesecake Bars,"Ingredients  1 cup whole berry cranberry sauce  1 cup heavy cream  1 tsp lemon zest  1 8-oz package cream cheese, softened to room temperature  1/2 cup granulated sugar  1/2 cup unsalted butter, cut into pieces  4 cups ginger snaps","Step by stepPreheat oven to 400 degrees.Combine the ginger snaps and butter in the bowl of your KitchenAid® Food Processor and process until coarse crumbs form. Press into a 9×13-inch glass baking pan. Bake for 10-12 minutes, until lightly browned at the edges.Once the crust is out of the oven, combine 1/2 cup granulated sugar with the cream cheese and lemon zest in the bowl of a KitchenAid® Stand Mixer fitted with the whisk attachment. Beat on its lowest speed at first and then increase to medium speed and beat until smooth – about 2 minutes. Add the heavy cream. Beat on the stand mixer’s lowest speed until it begins to incorporate. Then increase the speed to medium and beat well until it becomes very thick and smooth. The cream cheese mixture should hold its shape when you lift the mixer head.Spoon the cream cheese mixture onto the crust and spread into an even layer. Drop the cranberry sauce by the spoonful all around the cheesecake topping. Swirl gently with a knife.Chill, covered, for at least two hours before serving. Cut into 12 bars.",kitchenaid
"Honeycrisp, Gruyere, Mustard, Prosciutto & Spinach Grilled Cheese","Honeycrisp, Gruyere, Mustard, Prosciutto & Spinach Grilled Cheese","Ingredients  Handful of spinach  1/2 honey crisp apple  1/2 cup shredded gruyere  Dijon mustard, to taste  2 slices sourdough bread  3 slices prosciutto  2 tablespoons butter, at room temperature","Step by stepStart by crisping the prosciutto. Place the prosciutto in a cold, dry, nonstick frying pan and turn the heat up to medium-high. Crisp, until the edges become lightly golden and curled; remove from the pan and set aside. The prosciutto will crisp up as it cools.Cut the apple in half and slice thinly.Heat up a large nonstick pan on medium-low heat. Spread dijon on one slice of bread, to taste. Butter the other side generously and place in the pan, butter side down. Top with half of the shredded cheese, the slices of prosciutto and the thin slices of apple. Top with spinach and the remaining cheese, making sure to reach the edges.Butter the other slice of bread and place on top of the cheese, butter side facing up. Cook slowly on medium-low to medium heat until cheese melts and the bottom slice is golden brown and toasty. Carefully flip your sandwich and continue grilling until the cheese melts. The second side grills a bit faster, so turn the heat down to low and keep a close eye on it. When toasty brown and perfect, remove from the pan, slice, and enjoy hot.",kitchenaid
No Bake Energy Bites,No Bake Energy Bites,"Ingredients  1 tablespoon poppy seeds  1 tablespoon lemon zest (about 2 large lemons), freshly grated  1/4  cup + 2 tablespoons honey (or maple syrup)  1 tablespoon chia seeds  1/2 cup unsweetened shredded coconut, divided  3 tablespoons almond butter  1/2 cup almond meal  1 1/2 cups old-fashioned oats","Step by stepAdd the oats, almond meal, almond butter, 1/4 cup of the unsweetened shredded coconut, chia seeds, honey, lemon zest, and poppy seeds to the KitchenAid® Ceramic Bowl of the KitchenAid® Stand Mixer fitted with the flat beater. Mix on low speed for a few seconds. Increase to medium speed and mix until completely combined, about 2-3 minutes.Measure heaping tablespoon-sized balls and roll them into tightly packed rounds between your palms. If the dough crumbles rather than sticks together, add another tablespoon of honey and mix until combined.With the remaining 1/4 cup of unsweetened shredded coconut in a small bowl, roll each ball in the coconut, pressing it firmly into the sides. Enjoy!The energy bites will keep for up to a week in an airtight container in the refrigerator.",kitchenaid
Creamy Vegan Caesar Dressing,Creamy Vegan Caesar Dressing,Ingredients  1/2 teaspoon agave nectar  1/2 teaspoon minced fresh parsley  1/2 teaspoon pepper  1/2 teaspoon salt  1 tablespoon minced garlic  2 tablespoons lemon juice  3 tablespoons nutritional yeast  1/4 cup water  1/2 cup pine nuts,Step by stepPlace all ingredients in a KitchenAid Food Processor. Process until blended.,kitchenaid
Cranberry Apple Juice,Cranberry Apple Juice,"Ingredients  1 pear, quartered  2 large cucumbers  1 cup parsley  2 oranges, peeled  3 large carrots  1 sweet potato, quartered  3 apples, quartered  1 cup fresh cranberries","Step by stepAssemble the KitchenAid® Maximum Extraction Juicer with the low pulp blade and pulp screen over the small pitcher. Add the parsley to the feeding tube. Turn the Juicer on. Add the cucumbers, one at a time. Add the quartered pear. Discard any foam that has accumulated on the pulp screen. Serve juice immediately or store in the refrigerator in a covered container for up to three days.",kitchenaid
Ancient Grain Hot Breakfast Cereal,Ancient Grain Hot Breakfast Cereal,"Ingredients  3/4 walnuts, toasted, coarsely chopped  ⅓ cup maple syrup  1/2 cup dried wild blueberries  1/4 teaspoon salt  1 1/2 cups water  1 quart almond milk, original, unsweetened  1/2 cup millet  1 cup quick-cooking bulgur wheat  1 cup white quinoa  1 tablespoon canola oil","Step by stepAttach stir & flip wand to stir tower. Set kitchenaid® multi-cooker with Stir-tower to manual 375 ºf and preheat.Add oil and heat for 30 seconds. Add Quinoa, cover and turn stir tower to Speed 2. Cook for 8-10 minutes or until Quinoa is lightly toasted.Turn off the stir tower. Remove ¼ cup Toasted quinoa and reserve for garnish.Turn stir tower to speed 2 and add Bulgur, millet, almond milk, water and salt to cooking pot. Replace lid and Continue cooking for 12-15 minutes or Until grains are cooked through.Set unit to keep warm. Reduce stir Tower to speed 1 and add blueberries, Mixing just until blended.To serve, ladle cooked grain mixture into Bowls and top with 1 tbsp maple syrup, 2 tbsp walnuts and 2 tbsp reserved Toasted quinoa.Chef’s tips: Tri-colored quinoa is a great substitute for white quinoa.",kitchenaid
Beet the Heat Juice,Beet the Heat Juice,"Ingredients  1 (1/2-inch) piece fresh ginger, peeled  2 oranges, peeled and quartered  2 medium carrots  1 green apple, cut into quarters  6 small beets, cleaned and trimmed","Step by stepTurn the KitchenAid® Maximum Extraction Juicer on. Add the beets, green apple, carrots, orange and ginger into the hopper, one ingredient at a time.Switch the button from ON to REV (reverse) to ensure all liquids have been pressed through the strainer basket.Pour into a glass and serve immediately or chill, covered, until ready to serve.",kitchenaid
Sticky Ginger Chicken,Sticky Ginger Chicken,"Ingredients  1 teaspoon sesame seeds  2 green onions  1 lb. boneless chicken thighs, cut into chunks  1 tablespoon peanut oil  1 teaspoon sweet chili sauce  1 teaspoon fresh ginger, grated  1 tablespoon lime juice  2 cloves garlic  1 tablespoon oyster sauce  1/4 cup honey","Step by stepPlace honey, oyster sauce, garlic, lime juice, ginger and sweet chili sauce in blender. Process on setting 4 (puree) 30 seconds. Set aside until ready to use. Can be made up to 3 days ahead.Heat peanut oil in large skillet over medium-high heat. Add chicken and saute 3-4 minutes until cooked through.Pour sticky sauce over chicken and cook 1-2 minutes until bubbly. Remove from heat. Garnish with green onion and sesame seeds. Serve immediately.",kitchenaid
Fresh Bloody Mary Mix,,Ingredients  Salt and cayenne pepper to taste  Salt and cayenne pepper to taste  2 teaspoons Worcestershire sauce  2 celery sticks  1 small lemon  6 to 8 tomatoes (to make 2 cups of juice),"Step by stepUsing the KitchenAid® Maximum Extraction Juicer, juice the tomatoes, lemon and celery. Pour the juice in a pitcher and mix in Worcestershire sauce.Season with salt and cayenne pepper to taste.Add ice, vodka and garnishes. Recipe can easily be doubled or tripled.",kitchenaid
European-Style Hot Chocolate,European-Style Hot Chocolate,"Ingredients  1/2 teaspoon vanilla extract  2 cups (16 ounces) milk  1 teaspoons cornstarch  2 teaspoon granulated sugar  3 ounces bittersweet chocolate, broken into pieces  3 ounces milk chocolate, broken into pieces","Step by stepFeed the pieces of chocolate through the KitchenAid® Food Grinder and into a small pot.Add the sugar and cornstarch, and toss to coat.Pour the milk into the pot and cook over medium heat until barely simmering, stirring occasionally.Whisk in the vanilla extract, pour into cups or bowls, and serve.",kitchenaid
Ground Beef Sweet Potato Curry,Ground Beef Sweet Potato Curry,"Ingredients  1 cup frozen peas  Pepper to taste  1 1/4 teaspoons salt  1/2 teaspoon cayenne (to taste)  2 teaspoons paprika  1 1/2 teaspoons coriander  4 teaspoons garam masala  3 tablespoons minced garlic  1-2 (13.5 ounce) cans full fat unsweetened coconut milk**  1/4 pound ground beef  4 tomatoes  2 onions, peeled and quartered  2 sweet potatoes, peeled and cut in half","Step by stepDice sweet potatoes, onion and tomatoes by hand or using the KitchenAid® Pro Line® Series 16-Cup Food Processor with Commercial-Style Dicing.Add several tablespoons of olive oil to large saute pan and add diced vegetables. Cook on high stirring several times to prevent burning for 10 minutes until vegetables are starting to soften.Add ground beef and garlic to center of pan and cook until browned, about 5 minutes.Add coconut milk and spices and cook on medium heat for 5 minutes. Taste and season further if desired. Can be held on lowest setting on stove until serving time (up to 1 hour).Five minutes before serving add frozen peas. Serve with rice and naan (or roti).",kitchenaid
